stream,next_stream,drainage_area_km2,length_km,area_sqkm,centroid_lon,centroid_lat,hu,i2,i3,sw,ss,n,slope,res_ss,res_gw,melt,t_thres
420558772,420558773,0.112,0.33,0.112,-74.79066176,40.31169117647059,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420557886,420558773,0.086,0.21,0.086,-74.78842949,40.31451923076923,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420553620,420553417,0.761,1.358,0.761,-74.79696121,40.32966235632185,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420553824,420553417,0.053,0.117,0.053,-74.78989583,40.33020833333335,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420553417,420551946,0.8410000000000001,0.234,0.027,-74.790625,40.33312499999998,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420552578,420551946,0.23,0.517,0.23,-74.79313095,40.33510714285714,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420551525,420551526,5.19,1.058,0.413,-74.79431878,40.339212962962975,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420551526,420551143,5.585999999999999,0.071,0.014,-74.78833333,40.34125,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420550514,420551526,0.382,0.375,0.158,-74.79049242,40.34367424242424,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420550311,420551143,0.151,0.419,0.151,-74.78653986,40.34440217391305,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420550722,420550514,0.112,0.375,0.112,-74.79404412,40.34257352941179,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420550310,420550514,0.112,0.304,0.112,-74.79502778,40.34547222222222,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549336,420549337,1.248,0.562,0.217,-74.79084596,40.34789141,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549516,420549336,0.952,0.492,0.132,-74.79583333,40.34845833333332,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549714,420549337,0.092,0.21,0.092,-74.78625,40.34738095238095,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548919,420549336,0.079,0.234,0.079,-74.794375,40.35076389,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549337,420548920,1.373,0.117,0.033,-74.78841667,40.34975,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548480,420548920,0.151,0.071,0.151,-74.79081349,40.352202380952384,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548055,420547230,0.151,0.397,0.151,-74.79527174,40.353822463768125,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547868,420547228,0.151,0.21,0.151,-74.80005435,40.35585144927538,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547230,420548056,3.084,0.213,0.099,-74.79219444,40.35641666666667,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547231,420548056,0.053,0.117,0.053,-74.78947917,40.358020833333335,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547229,420547230,2.834,0.234,0.079,-74.79388889,40.35805555555557,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547228,420547229,2.663,0.188,0.053,-74.79680556,40.3575,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420546417,420547229,0.092,0.21,0.092,-74.79452381,40.36053571428573,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420556818,420556611,3.131,0.35,0.112,-74.77968137,40.318553921568615,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420556819,420556417,0.099,0.117,0.099,-74.77536111,40.318916666666674,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420556611,420556417,3.735,0.117,0.033,-74.77775,40.31991666666667,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420555999,420556611,0.571,1.291,0.571,-74.78693627,40.321661764705865,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420556417,420554485,3.867,0.117,0.033,-74.77725,40.32091666666668,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420555544,420554485,0.118,0.188,0.118,-74.77875,40.32421296296296,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420554485,420553623,4.47,1.259,0.485,-74.7728491,40.32496622,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420555118,420554043,0.197,0.63,0.197,-74.78372222,40.32480555555555,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420554484,420554043,0.243,0.471,0.243,-74.78602477,40.32751126126125,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420554043,420553621,0.6759999999999999,0.654,0.236,-74.77946759,40.32861111111111,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420554262,420553825,0.138,0.234,0.138,-74.77509921,40.32851190476191,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420553622,420553623,64.38199999999999,0.259,0.079,-74.77152778,40.33111111,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420553222,420553008,0.217,0.701,0.217,-74.78614899,40.33114899,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420553825,420553622,64.099,0.071,0.014,-74.77333333,40.33166666666666,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420553621,420553825,63.947,0.329,0.079,-74.77534722,40.33152777777777,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420552360,420553622,0.204,0.35,0.204,-74.7709543,40.33498655913978,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420553010,420553621,0.066,0.234,0.066,-74.77558333,40.33416666666666,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420553009,420553621,63.126000000000005,0.492,0.191,-74.77897989,40.33337644,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420553418,420553009,0.066,0.21,0.066,-74.78225,40.33183333333334,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420554683,420553619,0.112,0.21,0.112,-74.81419118,40.32732843137256,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420554042,420553619,0.066,0.234,0.066,-74.815,40.330333333333336,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420553619,420552358,0.349,0.446,0.171,-74.81163462,40.33067307692308,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420554261,420552358,0.125,0.21,0.125,-74.8089693,40.32844298245614,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420552358,420551525,1.208,1.308,0.734,-74.80396577,40.33377976190477,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420552808,420551945,0.328,0.63,0.328,-74.8143,40.33511666666666,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420551944,420551945,0.086,0.142,0.086,-74.81259615,40.33791666666667,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420551945,420551523,0.637,0.679,0.223,-74.80816176,40.33786764705883,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420551524,420551525,3.569,0.188,0.04,-74.80097222,40.339166666666685,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420551523,420551524,3.293,0.492,0.125,-74.80344298,40.33953947368423,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420550098,420551524,0.236,0.443,0.236,-74.79888889,40.34351851851851,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420551341,420551522,0.8399999999999999,0.75,0.21,-74.81489583,40.34109375,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420551342,420551523,2.531,0.117,0.027,-74.80291667,40.34166666666666,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420550512,420551341,0.348,0.75,0.348,-74.82227201,40.34216194968554,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420550917,420551342,1.7139999999999995,0.633,0.164,-74.80771667,40.34185,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420551522,420550917,1.36,0.117,0.04,-74.81097222,40.34013888888889,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420551142,420551342,0.79,0.21,0.027,-74.80375,40.34270833333333,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549906,420551341,0.282,0.793,0.282,-74.81942829,40.34516472868217,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549907,420551522,0.48,0.792,0.204,-74.81375,40.34522849462365,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549133,420550917,0.19,0.628,0.19,-74.81159483,40.34708333333335,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420550513,420551142,0.086,0.259,0.086,-74.80144231,40.34407051282051,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420550309,420551142,0.375,0.302,0.059,-74.80402778,40.3449537,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549134,420551142,0.302,0.746,0.302,-74.80869565,40.34782608695652,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549713,420550309,0.086,0.234,0.086,-74.80195513,40.34714743589743,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
