time,Var0_sys0,Var1_sys0,Var2_sys0,Var3_sys0,Var4_sys0,Var0_sys1,Var1_sys1,Var2_sys1,Var3_sys1,Var4_sys1,Var0_sys2,Var1_sys2,Var2_sys2,Var3_sys2,Var4_sys2,Var0_sys3,Var1_sys3,Var2_sys3,Var3_sys3,Var4_sys3
0.00049995,1.00025,1.0002,1.00005,0.99995,1.00015,1.00025,1.0002,1.00005,0.99995,1.00015,1.00025,1.0002,1.00005,0.99995,1.00015,1.00025,1.0002,1.00005,0.99995,1.00015
0.0009999,1.0005,1.0004,1.0001,0.9999,1.0003,1.0005,1.0004,1.0001,0.9999,1.0003,1.0005,1.0004,1.0001,0.9999,1.0003,1.0005,1.0004,1.0001,0.9999,1.0003
0.00149985,1.00075,1.0006,1.00015,0.99985,1.00045,1.00075,1.0006,1.00015,0.99985,1.00045,1.00075,1.0006,1.00015,0.99985,1.00045,1.00075,1.0006,1.00015,0.99985,1.00045
0.0019998,1.001,1.0008,1.0002,0.999801,1.0006,1.001,1.0008,1.0002,0.999801,1.0006,1.001,1.0008,1.0002,0.999801,1.0006,1.001,1.0008,1.0002,0.999801,1.0006
0.00249975,1.00125,1.001,1.00025,0.999751,1.00075,1.00125,1.001,1.00025,0.999751,1.00075,1.00125,1.001,1.00025,0.999751,1.00075,1.00125,1.001,1.00025,0.999751,1.00075
0.0029997,1.0015,1.0012,1.0003,0.999701,1.0009,1.0015,1.0012,1.0003,0.999701,1.0009,1.0015,1.0012,1.0003,0.999701,1.0009,1.0015,1.0012,1.0003,0.999701,1.0009
0.00349965,1.00175,1.0014,1.00035,0.999652,1.00105,1.00175,1.0014,1.00035,0.999652,1.00105,1.00175,1.0014,1.00035,0.999652,1.00105,1.00175,1.0014,1.00035,0.999652,1.00105
0.0039996,1.002,1.0016,1.0004,0.999602,1.0012,1.002,1.0016,1.0004,0.999602,1.0012,1.002,1.0016,1.0004,0.999602,1.0012,1.002,1.0016,1.0004,0.999602,1.0012
0.00449955,1.00225,1.0018,1.00045,0.999553,1.00135,1.00225,1.0018,1.00045,0.999553,1.00135,1.00225,1.0018,1.00045,0.999553,1.00135,1.00225,1.0018,1.00045,0.999553,1.00135
0.0049995,1.0025,1.002,1.0005,0.999504,1.0015,1.0025,1.002,1.0005,0.999504,1.0015,1.0025,1.002,1.0005,0.999504,1.0015,1.0025,1.002,1.0005,0.999504,1.0015
0.00549945,1.00275,1.0022,1.00055,0.999454,1.00165,1.00275,1.0022,1.00055,0.999454,1.00165,1.00275,1.0022,1.00055,0.999454,1.00165,1.00275,1.0022,1.00055,0.999454,1.00165
0.0059994,1.003,1.0024,1.0006,0.999405,1.0018,1.003,1.0024,1.0006,0.999405,1.0018,1.003,1.0024,1.0006,0.999405,1.0018,1.003,1.0024,1.0006,0.999405,1.0018
0.00649935,1.00324,1.0026,1.00065,0.999356,1.00195,1.00324,1.0026,1.00065,0.999356,1.00195,1.00324,1.0026,1.00065,0.999356,1.00195,1.00324,1.0026,1.00065,0.999356,1.00195
0.0069993,1.00349,1.0028,1.0007,0.999307,1.0021,1.00349,1.0028,1.0007,0.999307,1.0021,1.00349,1.0028,1.0007,0.999307,1.0021,1.00349,1.0028,1.0007,0.999307,1.0021
0.00749925,1.00374,1.003,1.00075,0.999258,1.00225,1.00374,1.003,1.00075,0.999258,1.00225,1.00374,1.003,1.00075,0.999258,1.00225,1.00374,1.003,1.00075,0.999258,1.00225
0.0079992,1.00399,1.0032,1.0008,0.999209,1.0024,1.00399,1.0032,1.0008,0.999209,1.0024,1.00399,1.0032,1.0008,0.999209,1.0024,1.00399,1.0032,1.0008,0.999209,1.0024
0.00849915,1.00424,1.0034,1.00085,0.99916,1.00255,1.00424,1.0034,1.00085,0.99916,1.00255,1.00424,1.0034,1.00085,0.99916,1.00255,1.00424,1.0034,1.00085,0.99916,1.00255
0.0089991,1.00449,1.0036,1.0009,0.999111,1.0027,1.00449,1.0036,1.0009,0.999111,1.0027,1.00449,1.0036,1.0009,0.999111,1.0027,1.00449,1.0036,1.0009,0.999111,1.0027
0.00949905,1.00474,1.00379,1.00096,0.999063,1.00285,1.00474,1.00379,1.00096,0.999063,1.00285,1.00474,1.00379,1.00096,0.999063,1.00285,1.00474,1.00379,1.00096,0.999063,1.00285
0.009999,1.00499,1.00399,1.00101,0.999014,1.003,1.00499,1.00399,1.00101,0.999014,1.003,1.00499,1.00399,1.00101,0.999014,1.003,1.00499,1.00399,1.00101,0.999014,1.003
0.010499,1.00524,1.00419,1.00106,0.998966,1.00315,1.00524,1.00419,1.00106,0.998966,1.00315,1.00524,1.00419,1.00106,0.998966,1.00315,1.00524,1.00419,1.00106,0.998966,1.00315
0.0109989,1.00548,1.00439,1.00111,0.998917,1.0033,1.00548,1.00439,1.00111,0.998917,1.0033,1.00548,1.00439,1.00111,0.998917,1.0033,1.00548,1.00439,1.00111,0.998917,1.0033
0.0114989,1.00573,1.00459,1.00116,0.998869,1.00345,1.00573,1.00459,1.00116,0.998869,1.00345,1.00573,1.00459,1.00116,0.998869,1.00345,1.00573,1.00459,1.00116,0.998869,1.00345
0.0119988,1.00598,1.00479,1.00121,0.99882,1.0036,1.00598,1.00479,1.00121,0.99882,1.0036,1.00598,1.00479,1.00121,0.99882,1.0036,1.00598,1.00479,1.00121,0.99882,1.0036
0.0124988,1.00623,1.00499,1.00126,0.998772,1.00375,1.00623,1.00499,1.00126,0.998772,1.00375,1.00623,1.00499,1.00126,0.998772,1.00375,1.00623,1.00499,1.00126,0.998772,1.00375
0.0129987,1.00648,1.00519,1.00131,0.998724,1.0039,1.00648,1.00519,1.00131,0.998724,1.0039,1.00648,1.00519,1.00131,0.998724,1.0039,1.00648,1.00519,1.00131,0.998724,1.0039
0.0134987,1.00673,1.00539,1.00136,0.998676,1.00405,1.00673,1.00539,1.00136,0.998676,1.00405,1.00673,1.00539,1.00136,0.998676,1.00405,1.00673,1.00539,1.00136,0.998676,1.00405
0.0139986,1.00697,1.00559,1.00141,0.998627,1.0042,1.00697,1.00559,1.00141,0.998627,1.0042,1.00697,1.00559,1.00141,0.998627,1.0042,1.00697,1.00559,1.00141,0.998627,1.0042
0.0144986,1.00722,1.00579,1.00146,0.998579,1.00435,1.00722,1.00579,1.00146,0.998579,1.00435,1.00722,1.00579,1.00146,0.998579,1.00435,1.00722,1.00579,1.00146,0.998579,1.00435
0.0149985,1.00747,1.00599,1.00151,0.998532,1.0045,1.00747,1.00599,1.00151,0.998532,1.0045,1.00747,1.00599,1.00151,0.998532,1.0045,1.00747,1.00599,1.00151,0.998532,1.0045
0.0154985,1.00772,1.00619,1.00156,0.998484,1.00464,1.00772,1.00619,1.00156,0.998484,1.00464,1.00772,1.00619,1.00156,0.998484,1.00464,1.00772,1.00619,1.00156,0.998484,1.00464
0.0159984,1.00797,1.00639,1.00162,0.998436,1.00479,1.00797,1.00639,1.00162,0.998436,1.00479,1.00797,1.00639,1.00162,0.998436,1.00479,1.00797,1.00639,1.00162,0.998436,1.00479
0.0164984,1.00822,1.00658,1.00167,0.998388,1.00494,1.00822,1.00658,1.00167,0.998388,1.00494,1.00822,1.00658,1.00167,0.998388,1.00494,1.00822,1.00658,1.00167,0.998388,1.00494
0.0169983,1.00846,1.00678,1.00172,0.99834,1.00509,1.00846,1.00678,1.00172,0.99834,1.00509,1.00846,1.00678,1.00172,0.99834,1.00509,1.00846,1.00678,1.00172,0.99834,1.00509
0.0174983,1.00871,1.00698,1.00177,0.998293,1.00524,1.00871,1.00698,1.00177,0.998293,1.00524,1.00871,1.00698,1.00177,0.998293,1.00524,1.00871,1.00698,1.00177,0.998293,1.00524
0.0179982,1.00896,1.00718,1.00182,0.998245,1.00539,1.00896,1.00718,1.00182,0.998245,1.00539,1.00896,1.00718,1.00182,0.998245,1.00539,1.00896,1.00718,1.00182,0.998245,1.00539
0.0184982,1.00921,1.00738,1.00187,0.998198,1.00554,1.00921,1.00738,1.00187,0.998198,1.00554,1.00921,1.00738,1.00187,0.998198,1.00554,1.00921,1.00738,1.00187,0.998198,1.00554
0.0189981,1.00945,1.00758,1.00192,0.998151,1.00569,1.00945,1.00758,1.00192,0.998151,1.00569,1.00945,1.00758,1.00192,0.998151,1.00569,1.00945,1.00758,1.00192,0.998151,1.00569
0.0194981,1.0097,1.00778,1.00197,0.998103,1.00584,1.0097,1.00778,1.00197,0.998103,1.00584,1.0097,1.00778,1.00197,0.998103,1.00584,1.0097,1.00778,1.00197,0.998103,1.00584
0.019998,1.00995,1.00798,1.00202,0.998056,1.00599,1.00995,1.00798,1.00202,0.998056,1.00599,1.00995,1.00798,1.00202,0.998056,1.00599,1.00995,1.00798,1.00202,0.998056,1.00599
0.020498,1.0102,1.00818,1.00207,0.998009,1.00614,1.0102,1.00818,1.00207,0.998009,1.00614,1.0102,1.00818,1.00207,0.998009,1.00614,1.0102,1.00818,1.00207,0.998009,1.00614
0.0209979,1.01044,1.00837,1.00213,0.997962,1.00629,1.01044,1.00837,1.00213,0.997962,1.00629,1.01044,1.00837,1.00213,0.997962,1.00629,1.01044,1.00837,1.00213,0.997962,1.00629
0.0214979,1.01069,1.00857,1.00218,0.997915,1.00644,1.01069,1.00857,1.00218,0.997915,1.00644,1.01069,1.00857,1.00218,0.997915,1.00644,1.01069,1.00857,1.00218,0.997915,1.00644
0.0219978,1.01094,1.00877,1.00223,0.997868,1.00659,1.01094,1.00877,1.00223,0.997868,1.00659,1.01094,1.00877,1.00223,0.997868,1.00659,1.01094,1.00877,1.00223,0.997868,1.00659
0.0224978,1.01119,1.00897,1.00228,0.997821,1.00674,1.01119,1.00897,1.00228,0.997821,1.00674,1.01119,1.00897,1.00228,0.997821,1.00674,1.01119,1.00897,1.00228,0.997821,1.00674
0.0229977,1.01143,1.00917,1.00233,0.997774,1.00689,1.01143,1.00917,1.00233,0.997774,1.00689,1.01143,1.00917,1.00233,0.997774,1.00689,1.01143,1.00917,1.00233,0.997774,1.00689
0.0234977,1.01168,1.00937,1.00238,0.997727,1.00704,1.01168,1.00937,1.00238,0.997727,1.00704,1.01168,1.00937,1.00238,0.997727,1.00704,1.01168,1.00937,1.00238,0.997727,1.00704
0.0239976,1.01193,1.00957,1.00243,0.99768,1.00719,1.01193,1.00957,1.00243,0.99768,1.00719,1.01193,1.00957,1.00243,0.99768,1.00719,1.01193,1.00957,1.00243,0.99768,1.00719
0.0244976,1.01217,1.00977,1.00249,0.997634,1.00734,1.01217,1.00977,1.00249,0.997634,1.00734,1.01217,1.00977,1.00249,0.997634,1.00734,1.01217,1.00977,1.00249,0.997634,1.00734
0.0249975,1.01242,1.00996,1.00254,0.997587,1.00749,1.01242,1.00996,1.00254,0.997587,1.00749,1.01242,1.00996,1.00254,0.997587,1.00749,1.01242,1.00996,1.00254,0.997587,1.00749
0.0254975,1.01267,1.01016,1.00259,0.997541,1.00764,1.01267,1.01016,1.00259,0.997541,1.00764,1.01267,1.01016,1.00259,0.997541,1.00764,1.01267,1.01016,1.00259,0.997541,1.00764
